"1","2","Yoda",6,0
"3","4","Yoda",5,0
"42","The answer to life, the universe and everything!","Mytherious",2,0
"123","456","Mirzoda",2,0
"sax","Mytherious pulls out his saxophone and starts playing epic sax guy","Mytherious",1,0
"is","'t is kapot","Essevee21",undefined,0
"Pokedex","13:06 <+Pokedex> I'm blonde. What's your excuse?","Nuva",6,0
"reminder","Niet vergeten Robbie te slaan!","Mytherious",5,0
"kick","/kick #viveslan %param:%randomuser%%","Nuva",5,0
"poke","/me pokes %param% in the eye!","Rha",24,0
"jaja","en azzo","Nuva",2,1
"jaja","NeeNee","Nuva",0,1
"jaja","Dat ier stil is e","Nuva",0,1
"ennieanders","Tis hoe da get bekijkt","Nuva",16,0
"rage","%user% starts to rage because of %param%","Mytherious",1,0
"HakunaMatata","It means no worries, for the rest of your days","Mytherious",0,0
"Poelerage","Poele pakt nen bloempot en gooit die naar Beholder!!","Mytherious",6,0
"fail","Mytherious failed","Nuva",7,0
"kill","%user% starts getting the urge to kill %param:%randomuser%%","Mytherious",6,0
"fails","I don't do fails","Beholder",2,0
"ballon","%user% krijgt een denkbeeldige ballon van Nuva!","Nuva",1,0
"boom","zeg maar dag met het handje!","Beholder",2,0
"oedagetweet","OMDA IK SLIM BEN!","Nuva",10,0
"shoot","%user% shoots %param:%randomuser%% with a Portal gun!","Nuva",19,1
"shoot","%user% throws a snowball to %param:%randomuser%%!","Nuva",0,1
"shoot","%user% shoots a dildo at %param:%randomuser%%! ","Nuva",0,1
"shoot","%user% shoots bunnies in the direction of %param:%randomuser%%!","Nuva",0,1
"shoot","%user% shoots a snowball at %param:%randomuser%%! %param:%randomuser%% thinks that´s cool!","Nuva",0,1
"tetten","midnightfox steals the tetten from %user%","Beholder",25,0
"pintje","%user% lekt aan Boetn zijn tetjes vo een pintje","Mytherious",4,0
"tetjes","All tetjes are belong to Nuva","Nuva",0,0
"randomuser","Nuva","Essevee21",2,0
"boobs","The boobs are for Essevee21","Essevee21",1,0
"randommember","%user%","Essevee21",2,0
"hit","%user% hits %param% in the face","Beholder",3,0
"wie","%randomuser%","Beholder",2,0
"randomslap","%user% slaps %randomuser%  around a bit with a big baseballbat","Mytherious",0,0
"spam","%user% wilt da ge allemaal uw klep houdt","Essevee21",2,0
"cassandra","ochére die collega, ze is ook niet echt geliefd alsk et zo hoor","Beholder",2,0
"naaktfoto","%param%.png","Nuva",7,0
"hello","%user% groet iedereen!","Essevee21",5,0
"hellonot","%user% groet iedereen! (behalve %randomuser%)","Nuva",3,0
"bye","%user% wenst %param:iedereen% nog een fijne verderzetting van zijn dag!","Essevee21",22,0
"slapnuva","/me slaps Nuva with a big fat baseballbat","Beholder",7,0
"nuva","Nuva thanks Poele for five seconds","Poele",10,0
"hug","/me doesn't do hugs!","Beholder",3,0
"Rha","10:15	<+Rha>	https://www.destructoid.com/dildos-here-get-your-pokemon-dildos-here--377375.phtml kben daar ZO hard geintereseerd in ...","Poele",11,1
"Rha","10:01:15 <Rha> zie maar daze nie droog komt te staan me al da rijden","Poele",0,1
"Rha","14:55 <+Rha> damn I suck ","Poele",0,1
"gimme","Gimme all your %param%, all your hugs and kisses too, Gimme all your %param%, don't let up until we're through!","Beholder",7,0
"randomhit","/me hits %randomuser% with a dick","Beholder",6,0
"annoy","Thom leave us the fuck alone.. Thommeke Thommeke Thommeke Thommeke Thommeke Thommeke","Djoef",1,0
"annoyuser","%param% %param% %param% %param% %param% %param% %param% %param% %param% %param% %param% %param% %param% %param% %param% %param% %param% %param%","Mytherious",4,0
"bitch","You're a bitch!","Essevee21_",1,0
"quote","09:15:14 <Mytherious> en al mijn tampons naar de kloten helpen zeker","Rha",65,1
"quote","11:28:04       @Poele | en dan word je wakker uit je roes                                                                                                                                                                   │","Rha",0,1
"quote","Poele: Djoef blijft van aar foef","Rha",0,1
"Eddy","Chérie, chérie, dans met mij de tango d'amoré. Chérie, chérie, want we zijn voor elkander geboren","Essevee21",1,0
"poelerage","Poele pakt nen bloempot en gooit die naar %param:%randomuser%%!!","Mirzoda",11,0
"beholderrage","Beholder gooit een bloempot naar %param% !!","Beholder",1,0
"slapuser","/me slaps %param% with a big fat pokeball","Essevee21",2,0
"RhaQuote:","Rha: 'ik ben een luie zak :p'","Miklas",7,0
"groet","/me en %user% groeten de dag.","Beholder",2,0
"morning","Goeiemorgen, morgen, goeiedag!","Beholder",307,0
"penetrate","Open wide %param%...","Miklas",3,0
"userslap","%user% slaps %param% around a bit with a large trout","Beholder",1,0
"stats","%user% - https://hypnos.siteworld.be/ircstats/viveslan.html","Mytherious",32,0
"tits","All hail the tits!","Essevee21",1,0
"alive","Still Alive: https://youtu.be/Y6ljFaKRTrI","Essevee21",1,0
"FOODBREAK","OMNOMNOMNOM","Mytherious",1,0
"pebcak","Problem Encountered Between Chair And Keyboard, also know as %param:%randomuser%%","Mytherious",7,0
"facedesk","%user% slams his head on his desk as hard as possible","Mytherious",18,0
"fistbump","%user% fistbumps %param:%randomuser%%","Nuva",4,0
"haaifive","%user% slaat %param:&randomuser% met vijf haaien","Rha",4,0
"bomb","Somebody set up us the bomb","Essevee21",0,0
"pirate","Do what you want cause a pirate is free, YOU ARE A PIRATE","Mytherious",2,0
"drumroll","trrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr ting!","Nuva",2,0
"twodrumsandacymbal","BaDum-Tss","Mytherious",2,0
"gone","Now I only want you gone https://www.youtube.com/watch?v=dVVZaZ8yO6o","Nuva",0,0
"begone","Now I only want %param:you% gone https://www.youtube.com/watch?v=dVVZaZ8yO6o","Nuva",1,0
"turrets","Turret song: https://www.youtube.com/watch?v=Tg67XggeraM","Mytherious",0,0
"badum","tsss","Robshot",11,0
"bedum-tss","http://www.badumtss.net/","Essevee21",0,0
"ping","PING Bal geslagen richting %param:%randomuser%%","Mirzoda",70,0
"pong","PONG Bal geslagen richting %param:%randomuser%%","Mirzoda",46,0
"vrolijk,","Ik ben vandaag zo vrolijk","Mytherious",0,0
"help","Pokedex does not help, Pokedex only tortures irc users","Nuva",6,0
"slet","Ge zijt een slet, %param%","Essevee21",3,0
"hoer","if(sender == 'Midnightfox' || sender == 'Robshot') { print 'Ja ge zijt een hoer' } else { print 'Maar '+$sender+' toch, gij zijt toch geen hoer?' }","Rha",1,0
"debeste","Poele is den besten!","Poele",6,0
"nest","!slet %param% !hoer %param%","Poele",1,0
"slapsgiving","Happy Slapsgiving %user% slaps %randomuser%","Mytherious",2,0
"roulette","/kick %randomuser%","Poele",6,0
"final","Tududuuuuudum tutututuduuuuuuuuum! It's the final countdown!","Poele",2,0
"h4l","Hipster fo Life!","Essevee21",1,0
"sorcix","Uiteraard ben ik een ideaalbeeld.","Djoef",6,1
"sorcix","En uiteraard ben ik zo heet.","Djoef",0,1
"sorcix","Ik ga eens ne quote in uw gat steken!","Djoef",0,1
"sorcix","15:32:51 * sorcix sets ban on *!*@*","Djoef",0,1
"sorcix","15:54:50 <imp`> dat was precies een wildcard teveel sorcix :d","Djoef",0,1
"Kinvaris","Kinvaris is een mietje.","Midnightfox",0,0
"kinvaris","kinvaris is een mietje.","Midnightfox",2,0
"Nuva","13:29:34 <Nuva> 'moobs' !== 'boobs'","Mytherious",14,1
"Nuva","16:39:46 <Nuva> Poele: ge zij zelf een bug ","Mytherious",0,1
"Azzi","Azzi is nen Azzi","Midnightfox",0,0
"sletjes","%user%, ge zijt zelf een sletje!","Poele",1,0
"keys","Rha, ZQSD","Mytherious",1,0
"gay","Mytherious... who else....","Yoda",10,0
"alias","https://gist.github.com/imp-/6cb32c05e1d02c01cf4711b634929e2c","Mytherious",1,0
"zeize","En ze zoog verder...","Essevee21",7,0
"mytherious","13:17 <@Mytherious> Kzal vanavond es on komen","Nuva",3,1
"mytherious","It must be a thursday, I could never get the hang of thursdays","Nuva",0,1
"mytherious","16:53:21 <Thom> Mytherious, keep your dick away from babys please","Nuva",0,1
"matchday","http://m.memegen.com/j6no1f.jpg","Essevee21",1,0
"blame","/me blames %param:%randomuser%%","Rha",6,0
"google","http://lmgtfy.com/?q=%param%","Essevee21",24,0
"mytherious2","10:28 <@Mytherious> Tuurlijk ben ik lomp","Nuva",2,0
"poele","11:01 <@Poele> ik kom altijd wa later Midnightfox :p","Nuva",96,1
"poele","17:02 <@Poele> als je sommige mensen hun handen ziet wassen na het toilet zou je denken dat ze keihard op hun handen hebben geplast","Nuva",0,1
"poele","10:17:16  * Poele doet een vers pampertje aan","Nuva",0,1
"poele","13:45:40 <Poele> kga sucken met plezier","Nuva",0,1
"poele","13:08:06 <Poele> Miklas is enkel voor de sex","Nuva",0,1
"poele","13:10:25 <Poele> want khou eiegenlijk enkel van Miklas","Nuva",0,1
"openttd","http://piratepad.be/p/openttdtime","Mytherious",1,0
"reetkever","En toen kroop een bruine reetkever zachtjes in het warme holletje van Rha.","sorcix",1,0
"shame","Yoda wordt een beetje rood terwijl hij Rha voorzichtig probeert te bevrijden van de bruine reetkever die zijn holletje sinds gisteren teistert.","sorcix",0,0
"music","Avantasia - The Scarecrow: https://youtu.be/L-PkfKZAT6E","Nuva",100,1
"music","AVANTASIA - Dying For An Angel: https://youtu.be/quH_vUCdy2o","Nuva",0,1
"music","ALESTORM - Keelhauled: https://youtu.be/ta-Z_psXODw","Nuva",0,1
"music","Nightwish - The Greatest Show On Earth: https://youtu.be/uzPT9dGgeTs","Nuva",0,1
"music","Eluveitie - The Call Of The Mountains: https://youtu.be/-w2m-TeLi6I","Nuva",0,1
"music","EDGUY - Superheroes: https://youtu.be/a-hG4l2gs-A","Nuva",0,1
"music","Preuteleute - Kerstliedje:https://www.youtube.com/watch?v=o8kPRcf_ANs","Nuva",0,1
"music","HAMMERFALL - Any Means Necessary: https://youtu.be/vkmlujV-TvU","Nuva",0,1
"music","Eluveitie - A Rose For Epona: https://youtu.be/_1lXdLus2WI","Nuva",0,1
"music","Eluveitie - Omnos: https://youtu.be/msRy4vcSX4k","Nuva",0,1
"music","Drowning Pool - Bodies: https://www.youtube.com/watch?v=04F4xlWSFh0","Nuva",0,1
"music","DragonForce - Through The Fire And Flames: https://www.youtube.com/watch?v=0jgrCKhxE1s","Nuva",0,1
"music","Hans Zimmer & Lisa Gerrard - Now We Are Free: https://youtu.be/mm-sbOH-nEc","Nuva",0,1
"music","Howard Shore - The Fellowship of the Ring Suite: https://youtu.be/smL2sQ_rYwc","Nuva",0,1
"music","The Buggles - Video Killed The Radio Star: https://youtu.be/W8r-tXRLazs","Nuva",0,1
"music","Vercruusse Danst https://www.youtube.com/watch?v=ITUOe2tvxr4","Nuva",0,1
